D:\_CODE\app-territorios\app.js: line 6, col 21, Warning - 'createThemeToggle' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\app.js: line 19, col 21, Error - '__APP_VERSION__' is not defined. (no-undef)
D:\_CODE\app-territorios\data\services\backup-service.js: line 2, col 22, Warning - 'getDocs' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\data\services\backup-service.js: line 2, col 56, Warning - 'Timestamp' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\data\services\config-service.js: line 128, col 49, Warning - 'force' is assigned a value but never used. (no-unused-vars)
D:\_CODE\app-territorios\data\services\diagnostic-service.js: line 2, col 22, Warning - 'query' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\data\services\diagnostic-service.js: line 2, col 29, Warning - 'where' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\data\services\diagnostic-service.js: line 2, col 45, Warning - 'doc' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\data\services\diagnostic-service.js: line 2, col 73, Warning - 'setDoc' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\data\services\diagnostic-service.js: line 2, col 81, Warning - 'Timestamp' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\data\services\diagnostic-service.js: line 3, col 10, Warning - 'ServiceCache' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\data\services\diagnostic-service.js: line 62, col 15, Warning - 'status' is assigned a value but never used. (no-unused-vars)
D:\_CODE\app-territorios\data\services\diagnostic-service.js: line 100, col 11, Warning - 'reportProgress' is assigned a value but never used. (no-unused-vars)
D:\_CODE\app-territorios\data\services\phone-service.js: line 7, col 39, Warning - 'conductorQuery' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\data\services\program-service.js: line 3, col 24, Warning - 'fetchCached' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\data\services\program-service.js: line 241, col 33, Warning - 'dayIdx' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\data\services\program-service.js: line 287, col 41, Warning - 'idx' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\dist\assets\admin-dashboard--NgCk22j.js: line 2, col 7531, Error - Unexpected lexical declaration in case block. (no-case-declarations)
D:\_CODE\app-territorios\dist\assets\admin-dashboard--NgCk22j.js: line 2, col 7663, Error - Unexpected lexical declaration in case block. (no-case-declarations)
D:\_CODE\app-territorios\dist\assets\admin-dashboard--NgCk22j.js: line 2, col 7800, Error - Unexpected lexical declaration in case block. (no-case-declarations)
D:\_CODE\app-territorios\dist\assets\admin-dashboard--NgCk22j.js: line 2, col 7910, Error - Unexpected lexical declaration in case block. (no-case-declarations)
D:\_CODE\app-territorios\dist\assets\admin-dashboard--NgCk22j.js: line 2, col 8017, Error - Unexpected lexical declaration in case block. (no-case-declarations)
D:\_CODE\app-territorios\dist\assets\admin-dashboard--NgCk22j.js: line 2, col 8117, Error - Unexpected lexical declaration in case block. (no-case-declarations)
D:\_CODE\app-territorios\dist\assets\analytics-view-aplk5kN7.js: line 1, col 19981, Error - 'showNotification' is not defined. (no-undef)
D:\_CODE\app-territorios\dist\assets\assignments-view-qehIg-Uv.js: line 1, col 394, Warning - 'c' is assigned a value but never used. (no-unused-vars)
D:\_CODE\app-territorios\dist\assets\assignments-view-qehIg-Uv.js: line 1, col 459, Warning - 'r' is assigned a value but never used. (no-unused-vars)
D:\_CODE\app-territorios\dist\assets\assignments-view-qehIg-Uv.js: line 1, col 461, Warning - 'i' is assigned a value but never used. (no-unused-vars)
D:\_CODE\app-territorios\dist\assets\conductor-dashboard-CuS_SZuu.js: line 2, col 6698, Warning - 'U' is assigned a value but never used. (no-unused-vars)
D:\_CODE\app-territorios\dist\assets\conductor-dashboard-CuS_SZuu.js: line 2, col 8121, Error - 'agendaContainer' is not defined. (no-undef)
D:\_CODE\app-territorios\dist\assets\conductor-dashboard-CuS_SZuu.js: line 2, col 8139, Error - 'agendaContainer' is not defined. (no-undef)
D:\_CODE\app-territorios\dist\assets\conductor-dashboard-CuS_SZuu.js: line 2, col 33968, Error - 'stopActiveLivePools' is not defined. (no-undef)
D:\_CODE\app-territorios\dist\assets\conductor-dashboard-CuS_SZuu.js: line 2, col 43752, Error - Do not access Object.prototype method 'hasOwnProperty' from target object. (no-prototype-builtins)
D:\_CODE\app-territorios\dist\assets\conductor-dashboard-CuS_SZuu.js: line 2, col 45303, Warning - 'e' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\dist\assets\conductor-dashboard-CuS_SZuu.js: line 2, col 47215, Warning - 'r' is assigned a value but never used. (no-unused-vars)
D:\_CODE\app-territorios\dist\assets\conductor-dashboard-CuS_SZuu.js: line 2, col 47250, Warning - 'e' is defined but never used. (no-unused-vars)
D:\_CODE\app-territorios\dist\assets\conductor-dashboard-CuS_SZuu.js: line 2, col 48815, Error - Unnecessary escape character: \(. (no-useless-escape)
D:\_CODE\app-territorios\dist\assets\conductor-dashboard-CuS_SZuu.js: line 2, col 48817, Error - Unnecessary escape character: \). (no-useless-escape)
